"University of Pennsylvania,Phialdelphia, PA, USA","Phialdelphia, PA, USA"
"UCLA,Los Angeles, CA","Los Angeles, CA, USA"
"Ithaca, NY, USA","Ithaca, NY, USA"
"Philadelphia, PA, USA","Philadelphia, PA, USA"
"College Park, MD, USA","College Park, MD, USA"
"Ann Arbor, MI, USA","Ann Arbor, MI, USA"
"UC Berkeley,Berkeley, CA","Berkeley, CA, USA"
"Cambridge, MA, USA","Cambridge, MA, USA"
"Rice University,Houston, TX","Houston, TX, USA"
"Yale University,New Haven, CT, USA","New Haven, CT, USA"
"Columbia University,New York, NY, USA","New York, NY, USA"
"NYU,New York, New York, USA","New York, NY, USA"
"UC Berkeley,Berkeley, CA","Berkeley, CA, USA"
"UIUC,Urbana, IL","Urbana, IL, USA"
"Temple University,Philadelphia, PA","Philadelphia, PA, USA"
"Cambridge, MA, USA","Cambridge, MA, USA"
"University of Connecticut,Storrs, CT, USA","Storrs, CT, USA"
"Philadelphia, PA, USA","Philadelphia, PA, USA"
"New Haven, CT, USA","New Haven, CT, USA"
"University of California, Santa Barbara,Santa Barbara, CA, USA","Santa Barbara, CA, USA"
